player_id,franchise_id,position_id,name,NFL_draft_year,NFL_draft_round,NFL_draft_rank,height_inches,weight_pounds,birthdate,forty_yd,three_cone,bench,broad_jump,combine_height,shuttle,vertical,combine_weight,season,week,has_missed_game_from_injury,fanduel_price,fanduel_points,proj_mean_fanduel_points,proj_downside_fanduel_points,proj_upside_fanduel_points,draftkings_price,draftkings_points,proj_mean_draftkings_points,proj_downside_draftkings_points,proj_upside_draftkings_points,vegas_line,beat_line,offensive_snapcount,offensive_snapcount_percentage,defensive_snapcount,defensive_snapcount_percentage,special_team_snapcount,special_team_snapcount_percentage,game_starter,game_location,playoffs,passing_int,passing_rating,passing_yds,passing_two_pt_md,passing_td,passing_att,passing_cmp,receiving_yds,receiving_td,receiving_rec,receiving_tar,rushing_att,rushing_td,rushing_yds,fumbles,fumbles_lost,fumbles_rec,fumbles_rec_yds
14850,SFO,TE,Steve Bush,,,,75,280,1974-07-04,,,,,,,,,2004,13,0,,0,0,0,0,,0,0,0,0,St. Louis Rams -11.0,win,,,,,,,0,away,0,,,,,,,,,,,,,,,,,,
14850,SFO,TE,Steve Bush,,,,75,280,1974-07-04,,,,,,,,,2004,14,0,,0,0,0,0,,0,0,0,0,Arizona Cardinals -7.0,win,,,,,,,1,away,0,,,,,,,,,,,,,,,,,,
14850,SFO,TE,Steve Bush,,,,75,280,1974-07-04,,,,,,,,,2004,15,0,,0,0,0,0,,0,0,0,0,Washington Redskins -6.5,lose,,,,,,,0,home,0,,,,,,,,,,,,,,,,,,
14850,SFO,TE,Steve Bush,,,,75,280,1974-07-04,,,,,,,,,2004,16,0,,0,0,0,0,,0,0,0,0,Buffalo Bills -10.0,lose,,,,,,,0,home,0,,,,,,,,,,,1,,,,,,,
14850,SFO,TE,Steve Bush,,,,75,280,1974-07-04,,,,,,,,,2004,17,0,,8,0,0,0,,9,0,0,0,New England Patriots -13.0,lose,,,,,,,1,away,0,,,,,,,,10,1,2,2,,,,,,,
15545,SFO,DEF,Josh Cooper,,,,76,255,1980-12-05,,,,,,,,,2004,17,0,,0,0,0,0,,0,0,0,0,New England Patriots -13.0,lose,,,,,,,0,away,0,,,,,,,,,,,,,,,,,,
7166,DAL,WR,Terry Glenn,1996,1,7,71,195,1974-07-23,,,,,,,,,2004,1,0,,16.9,0,0,0,,19.4,0,0,0,Minnesota Vikings -6.5,lose,,,,,,,1,away,0,0,,0,,0,0,0,84,1,5,8,0,0,0,,,,
7166,DAL,WR,Terry Glenn,1996,1,7,71,195,1974-07-23,,,,,,,,,2004,2,0,,12,0,0,0,,15,0,0,0,Dallas Cowboys -4.5,win,,,,,,,1,home,0,0,,0,,0,0,0,90,0,6,10,0,0,0,,,,
7166,DAL,WR,Terry Glenn,1996,1,7,71,195,1974-07-23,,,,,,,,,2004,3,0,,13.1,0,0,0,,14.6,0,0,0,Washington Redskins -1.5,win,,,,,,,1,away,0,0,,0,,0,0,0,56,1,3,4,0,0,0,,,,
7166,DAL,WR,Terry Glenn,1996,1,7,71,195,1974-07-23,,,,,,,,,2004,5,0,,3.4,0,0,0,,4.4,0,0,0,Dallas Cowboys -3.5,lose,,,,,,,1,home,0,0,,0,,0,0,0,24,0,2,3,0,0,0,,,,
7166,DAL,WR,Terry Glenn,1996,1,7,71,195,1974-07-23,,,,,,,,,2004,6,0,,17.2,0,0,0,,23.7,0,0,0,Dallas Cowboys -3.0,lose,,,,,,,1,home,0,0,,0,,0,0,0,140,0,7,11,1,0,-3,,,,
7166,DAL,WR,Terry Glenn,1996,1,7,71,195,1974-07-23,,,,,,,,,2004,7,0,,1.1,0,0,0,,1.6,0,0,0,Green Bay Packers -4.0,lose,,,,,,,1,away,0,0,39.6,0,,0,1,0,6,0,1,2,0,0,0,,,,
20486,WAS,DEF,Lemar Marshall,,,,74,227,1976-12-17,,,,,,,,,2004,1,0,,0,0,0,0,,0,0,0,0,Washington Redskins -2.5,win,,,,,,,0,home,0,,,,,,,,,,,,,,,,,0,
20486,WAS,DEF,Lemar Marshall,,,,74,227,1976-12-17,,,,,,,,,2004,2,0,,0,0,0,0,,0,0,0,0,Washington Redskins -3.0,lose,,,,,,,0,away,0,,,,,,,,,,,,,,,,,,
20486,WAS,DEF,Lemar Marshall,,,,74,227,1976-12-17,,,,,,,,,2004,3,0,,0,0,0,0,,0,0,0,0,Washington Redskins -1.5,lose,,,,,,,1,home,0,,,,,,,,,,,,,,,,,0,
20486,WAS,DEF,Lemar Marshall,,,,74,227,1976-12-17,,,,,,,,,2004,4,0,,0,0,0,0,,0,0,0,0,Washington Redskins -2.5,lose,,,,,,,1,away,0,,,,,,,,,,,,,,,,,0,
20486,WAS,DEF,Lemar Marshall,,,,74,227,1976-12-17,,,,,,,,,2004,5,0,,0,0,0,0,,0,0,0,0,Pick,lose,,,,,,,1,home,0,,,,,,,,,,,,,,,,,0,
20486,WAS,DEF,Lemar Marshall,,,,74,227,1976-12-17,,,,,,,,,2004,6,0,,0,0,0,0,,0,0,0,0,Chicago Bears -1.5,win,,,,,,,1,away,0,,,,,,,,,,,,,,,,,0,
