player_id,franchise_id,position_id,name,NFL_draft_year,NFL_draft_round,NFL_draft_rank,height_inches,weight_pounds,birthdate,forty_yd,three_cone,bench,broad_jump,combine_height,shuttle,vertical,combine_weight,season,week,has_missed_game_from_injury,fanduel_price,fanduel_points,proj_mean_fanduel_points,proj_downside_fanduel_points,proj_upside_fanduel_points,draftkings_price,draftkings_points,proj_mean_draftkings_points,proj_downside_draftkings_points,proj_upside_draftkings_points,vegas_line,beat_line,offensive_snapcount,offensive_snapcount_percentage,defensive_snapcount,defensive_snapcount_percentage,special_team_snapcount,special_team_snapcount_percentage,game_starter,game_location,playoffs,passing_int,passing_rating,passing_yds,passing_two_pt_md,passing_td,passing_att,passing_cmp,receiving_yds,receiving_td,receiving_rec,receiving_tar,rushing_att,rushing_td,rushing_yds,fumbles,fumbles_lost,fumbles_rec,fumbles_rec_yds
3702,BUF,DEF,DaQuan Jones,2014,4,112,76,320,1991-12-27,5.35,7.73,25,101,76,4.78,27.5,322,2022,1,0,,0,0,0,0,,0,0,0,0,-2.5,win,0,0,46,69,3,16,1,away,0,,,,,,,,,,,,,,,0,0,0,0
4184,RAM,DEF,Jalen Ramsey,2016,1,5,73,208,1994-10-24,4.41,6.94,14,135,73,4.18,41.5,209,2022,1,0,,0,0,0,0,,0,0,0,0,2.5,lose,0,0,59,100,5,26,1,home,0,,,,,,,,,,,,,,,0,0,0,0
28854,RAM,DEF,Russ Yeast,2022,7,253,70,195,1999-05-08,,,,,,,,,2022,1,0,,0,0,0,0,,0,0,0,0,2.5,lose,,,,,,,0,home,0,,,,,,,,,,,,,,,,,,
4773,BUF,OL,Dion Dawkins,2017,2,63,77,320,1994-04-26,5.11,7.3,26,106,76,4.78,26,314,2022,1,0,,0,0,0,0,,0,0,0,0,-2.5,win,59,100,0,0,5,26,1,away,0,,,,,,,,,,,,,,,,,,
26968,RAM,OL,Bobby Evans,2019,3,97,76,312,1997-03-24,5.2,,22,,76,,,312,2022,1,0,,0,0,0,0,,0,0,0,0,2.5,lose,0,0,0,0,2,11,0,home,0,,,,,,,,,,,,,,,,,,
4278,RAM,TE,Tyler Higbee,2016,4,110,78,255,1993-01-01,4.77,,,,78,,,249,2022,1,0,,6.4,7.384,0.195,18.051,,8.9,9.319,0.39,21.731,2.5,lose,63,94,0,0,0,0,1,home,0,,,,,,,,39,0,5,11,0,0,0,0,0,0,0
4824,BUF,OL,Reid Ferguson,,,,74,235,1994-03-24,,,,,,,,,2022,1,0,,0,0,0,0,,0,0,0,0,-2.5,win,0,0,0,0,5,26,0,away,0,,,,,,,,,,,,,,,,,,
27497,BUF,DEF,A.J. Epenesa,2020,2,54,78,260,1998-09-15,5.04,7.34,17,117,77,4.46,32.5,275,2022,1,0,,0,0,0,0,,0,0,0,0,-2.5,win,0,0,36,54,3,16,0,away,0,,,,,,,,,,,,,,,,,,
4304,BUF,DEF,Tyler Matakevich,2016,7,246,73,235,1992-12-22,4.81,7.19,22,112,72,4.5,31,238,2022,1,0,,0,0,0,0,,0,0,0,0,-2.5,win,0,0,0,0,13,68,0,away,0,,,,,,,,,,,,,,,,,,
27681,BUF,DEF,Dane Jackson,2020,7,239,71,180,1996-11-29,4.57,7.07,,122,72,4.27,35,187,2022,1,0,,0,0,0,0,,0,0,0,0,-2.5,win,0,0,65,97,3,16,1,away,0,,,,,,,,,,,,,,,0,0,0,0
4014,BUF,OL,Mitch Morse,2015,2,49,78,305,1992-04-21,5.14,7.6,36,112,77,4.5,31,305,2022,1,0,,0,0,0,0,,0,0,0,0,-2.5,win,59,100,0,0,0,0,1,away,0,,,,,,,,,,,,,,,,,,
26978,BUF,RB,Devin Singletary,2019,3,74,67,203,1997-09-03,4.66,7.32,15,117,67,4.4,35,203,2022,1,0,,7.2,17.368,6.557,33.738,,8.2,18.893,6.557,39.858,-2.5,win,35,59,0,0,0,0,1,away,0,,,,,,,,14,0,2,2,8,0,48,0,0,0,0
28744,RAM,DEF,Cobie Durant,2022,4,142,71,175,1998-02-09,4.38,,,,70,,,180,2022,1,0,,0,0,0,0,,0,0,0,0,2.5,lose,0,0,0,0,13,68,0,home,0,,,,,,,,,,,,,,,,,,
27692,RAM,OL,Tremayne Anchrum,2020,7,250,74,315,1998-06-24,5.21,,26,104,74,,24.5,314,2022,1,0,,0,0,0,0,,0,0,0,0,2.5,lose,0,0,0,0,2,11,0,home,0,,,,,,,,,,,,,,,,,,
3448,RAM,DEF,Aaron Donald,2014,1,13,73,280,1991-05-23,4.68,7.11,35,116,73,4.39,32,285,2022,1,0,,0,0,0,0,,0,0,0,0,2.5,lose,0,0,51,86,0,0,1,home,0,,,,,,,,,,,,,,,0,0,0,0
27197,BUF,OL,Ryan Bates,,,,76,302,1997-02-14,5.09,7.45,28,102,76,4.53,27,306,2022,1,0,,0,0,0,0,,0,0,0,0,-2.5,win,59,100,0,0,5,26,1,away,0,,,,,,,,,,,,,,,,,,
